State,Year,Quarter,District,Registered_users,App_opens,Region
tamil-nadu,2019,4,Tiruvannamalai ,202112,2639455,Southern Region
tamil-nadu,2019,4,Salem ,390301,4975680,Southern Region
tamil-nadu,2019,4,Nagapattinam ,87998,989769,Southern Region
tamil-nadu,2019,4,Tirupathur ,129026,1825987,Southern Region
tamil-nadu,2019,4,Ariyalur ,52294,617517,Southern Region
tamil-nadu,2019,4,Chennai ,1216610,22828193,Southern Region
tamil-nadu,2019,4,The Nilgiris ,69335,970095,Southern Region
tamil-nadu,2019,4,Erode ,242324,2893474,Southern Region
tamil-nadu,2019,4,Karur ,89726,1036381,Southern Region
tamil-nadu,2019,4,Kallakkurichi ,118948,1382861,Southern Region
tamil-nadu,2019,4,Viluppuram ,157860,2142547,Southern Region
tamil-nadu,2019,4,Pudukkottai ,89251,1061296,Southern Region
tamil-nadu,2019,4,Perambalur ,43804,494635,Southern Region
tamil-nadu,2019,4,Coimbatore ,767480,12267898,Southern Region
tamil-nadu,2019,4,Virudhunagar ,136782,1588707,Southern Region
tamil-nadu,2019,4,Dindigul ,177010,2388757,Southern Region
tamil-nadu,2019,4,Sivaganga ,92648,1107528,Southern Region
tamil-nadu,2019,4,Tenkasi ,79619,824540,Southern Region
tamil-nadu,2019,4,Chengalpattu ,829575,22382821,Southern Region
tamil-nadu,2019,4,Kanniyakumari ,147268,1703596,Southern Region
tamil-nadu,2019,4,Tirunelveli ,136178,1506103,Southern Region
tamil-nadu,2019,4,Thiruvallur ,934744,16550582,Southern Region
tamil-nadu,2019,4,Theni ,96179,1142433,Southern Region
tamil-nadu,2019,4,Ranipet ,141642,2023415,Southern Region
tamil-nadu,2019,4,Namakkal ,169515,1979201,Southern Region
tamil-nadu,2019,4,Vellore ,198172,3676316,Southern Region
tamil-nadu,2019,4,Thiruvarur ,64519,719556,Southern Region
tamil-nadu,2021,1,Tiruchirappalli ,527667,8836445,Southern Region
tamil-nadu,2021,1,Ramanathapuram ,158933,2470213,Southern Region
tamil-nadu,2021,1,Krishnagiri ,592655,18257136,Southern Region
tamil-nadu,2021,1,Cuddalore ,401780,6718405,Southern Region
tamil-nadu,2021,1,Kancheepuram ,895950,22914978,Southern Region
tamil-nadu,2021,1,Tiruppur ,772074,15416834,Southern Region
tamil-nadu,2021,1,Dharmapuri ,306834,7786122,Southern Region
tamil-nadu,2021,1,Thoothukkudi ,249036,3774093,Southern Region
tamil-nadu,2021,1,Thanjavur ,340874,5383102,Southern Region
tamil-nadu,2021,1,Madurai ,630685,10792871,Southern Region
tamil-nadu,2021,1,Tiruvannamalai ,369304,7105656,Southern Region
tamil-nadu,2021,1,Salem ,693137,13212180,Southern Region
tamil-nadu,2021,1,Nagapattinam ,172162,2709896,Southern Region
tamil-nadu,2021,1,Tirupathur ,242300,5673187,Southern Region
tamil-nadu,2021,1,Ariyalur ,101107,1628883,Southern Region
