State,Year,Quarter,District,Registered_users,Region
telangana,2022,4,Nizamabad,729287,Southern Region
telangana,2022,4,Karimnagar,687385,Southern Region
telangana,2022,4,Bhadradri Kothagudem,542203,Southern Region
telangana,2019,1,Hyderabad,1638436,Southern Region
telangana,2019,1,Rangareddy,1470874,Southern Region
telangana,2019,1,Medchal Malkajgiri,1279531,Southern Region
telangana,2019,1,Sangareddy,346529,Southern Region
telangana,2019,1,Warangal Urban,301881,Southern Region
telangana,2019,1,Karimnagar,218609,Southern Region
telangana,2019,1,Nalgonda,211184,Southern Region
telangana,2019,1,Khammam,206049,Southern Region
telangana,2019,1,Nizamabad,186351,Southern Region
telangana,2019,1,Siddipet,152281,Southern Region
telangana,2019,2,Hyderabad,1856926,Southern Region
telangana,2019,2,Rangareddy,1651300,Southern Region
telangana,2019,2,Medchal Malkajgiri,1428880,Southern Region
telangana,2019,2,Sangareddy,395371,Southern Region
telangana,2019,2,Warangal Urban,342602,Southern Region
telangana,2019,2,Karimnagar,246886,Southern Region
telangana,2019,2,Nalgonda,243227,Southern Region
telangana,2019,2,Khammam,239435,Southern Region
telangana,2019,2,Nizamabad,217841,Southern Region
telangana,2019,2,Siddipet,175413,Southern Region
telangana,2019,3,Hyderabad,2071673,Southern Region
telangana,2019,3,Rangareddy,1826019,Southern Region
telangana,2019,3,Medchal Malkajgiri,1572320,Southern Region
telangana,2019,3,Sangareddy,441944,Southern Region
telangana,2019,3,Warangal Urban,381730,Southern Region
telangana,2019,3,Karimnagar,274735,Southern Region
telangana,2019,3,Nalgonda,274568,Southern Region
telangana,2019,3,Khammam,270101,Southern Region
telangana,2019,3,Nizamabad,248977,Southern Region
telangana,2019,3,Siddipet,196397,Southern Region
telangana,2019,4,Hyderabad,2283903,Southern Region
telangana,2019,4,Rangareddy,2001437,Southern Region
telangana,2019,4,Medchal Malkajgiri,1714832,Southern Region
telangana,2019,4,Sangareddy,493353,Southern Region
telangana,2019,4,Warangal Urban,421970,Southern Region
telangana,2019,4,Nalgonda,312849,Southern Region
telangana,2019,4,Karimnagar,305507,Southern Region
telangana,2019,4,Khammam,304804,Southern Region
telangana,2019,4,Nizamabad,284623,Southern Region
telangana,2019,4,Siddipet,221164,Southern Region
telangana,2021,1,Hyderabad,3379663,Southern Region
telangana,2021,1,Rangareddy,2906635,Southern Region
telangana,2021,1,Medchal Malkajgiri,2450573,Southern Region
telangana,2021,1,Sangareddy,767476,Southern Region
telangana,2021,1,Warangal Urban,620947,Southern Region
telangana,2021,1,Nalgonda,517727,Southern Region
telangana,2021,1,Khammam,497818,Southern Region
telangana,2021,1,Nizamabad,485751,Southern Region
telangana,2021,1,Karimnagar,459407,Southern Region
telangana,2021,1,Bhadradri Kothagudem,354847,Southern Region
telangana,2021,2,Hyderabad,3598337,Southern Region
telangana,2021,2,Rangareddy,3097973,Southern Region
telangana,2021,2,Medchal Malkajgiri,2611159,Southern Region
telangana,2021,2,Sangareddy,820387,Southern Region
telangana,2021,2,Warangal Urban,661592,Southern Region
telangana,2021,2,Nalgonda,555043,Southern Region
telangana,2021,2,Khammam,532589,Southern Region
telangana,2021,2,Nizamabad,518801,Southern Region
telangana,2021,2,Karimnagar,490218,Southern Region
telangana,2021,2,Bhadradri Kothagudem,380059,Southern Region
telangana,2021,3,Hyderabad,3839513,Southern Region
telangana,2021,3,Rangareddy,3310906,Southern Region
telangana,2021,3,Medchal Malkajgiri,2790387,Southern Region
telangana,2021,3,Sangareddy,880907,Southern Region
telangana,2021,3,Warangal Urban,707591,Southern Region
telangana,2021,3,Nalgonda,598288,Southern Region
telangana,2021,3,Khammam,572647,Southern Region
telangana,2021,3,Nizamabad,556044,Southern Region
telangana,2021,3,Karimnagar,524929,Southern Region
telangana,2021,3,Bhadradri Kothagudem,409224,Southern Region
telangana,2021,4,Hyderabad,4081185,Southern Region
telangana,2021,4,Rangareddy,3523496,Southern Region
telangana,2021,4,Medchal Malkajgiri,2969740,Southern Region
telangana,2021,4,Sangareddy,940845,Southern Region
telangana,2021,4,Warangal Urban,753613,Southern Region
telangana,2021,4,Nalgonda,641044,Southern Region
telangana,2021,4,Khammam,612314,Southern Region
telangana,2021,4,Nizamabad,593223,Southern Region
telangana,2021,4,Karimnagar,559456,Southern Region
telangana,2021,4,Bhadradri Kothagudem,438017,Southern Region
telangana,2020,1,Hyderabad,2483843,Southern Region
telangana,2020,1,Rangareddy,2166829,Southern Region
telangana,2020,1,Medchal Malkajgiri,1845599,Southern Region
telangana,2020,1,Sangareddy,542540,Southern Region
telangana,2020,1,Warangal Urban,457591,Southern Region
telangana,2020,1,Nalgonda,351793,Southern Region
telangana,2020,1,Khammam,340747,Southern Region
telangana,2020,1,Karimnagar,334300,Southern Region
telangana,2020,1,Nizamabad,320572,Southern Region
telangana,2020,1,Siddipet,245168,Southern Region
telangana,2020,2,Hyderabad,2653534,Southern Region
telangana,2020,2,Rangareddy,2313748,Southern Region
telangana,2020,2,Medchal Malkajgiri,1963353,Southern Region
telangana,2020,2,Sangareddy,593360,Southern Region
telangana,2020,2,Warangal Urban,495066,Southern Region
telangana,2020,2,Nalgonda,393199,Southern Region
telangana,2020,2,Khammam,380382,Southern Region
telangana,2020,2,Karimnagar,362986,Southern Region
telangana,2020,2,Nizamabad,362663,Southern Region
telangana,2020,2,Siddipet,269076,Southern Region
telangana,2020,3,Hyderabad,2875965,Southern Region
telangana,2020,3,Rangareddy,2495699,Southern Region
telangana,2020,3,Medchal Malkajgiri,2111567,Southern Region
telangana,2020,3,Sangareddy,649580,Southern Region
telangana,2020,3,Warangal Urban,535485,Southern Region
telangana,2020,3,Nalgonda,435022,Southern Region
telangana,2020,3,Khammam,421101,Southern Region
telangana,2020,3,Nizamabad,405678,Southern Region
telangana,2020,3,Karimnagar,394328,Southern Region
telangana,2020,3,Bhadradri Kothagudem,297785,Southern Region
telangana,2020,4,Hyderabad,3142385,Southern Region
telangana,2020,4,Rangareddy,2704868,Southern Region
telangana,2020,4,Medchal Malkajgiri,2282695,Southern Region
telangana,2020,4,Sangareddy,711551,Southern Region
telangana,2020,4,Warangal Urban,579306,Southern Region
telangana,2020,4,Nalgonda,478409,Southern Region
telangana,2020,4,Khammam,461801,Southern Region
telangana,2020,4,Nizamabad,449731,Southern Region
telangana,2020,4,Karimnagar,428019,Southern Region
telangana,2020,4,Bhadradri Kothagudem,328326,Southern Region
telangana,2018,1,Hyderabad,655175,Southern Region
telangana,2018,1,Rangareddy,635175,Southern Region
telangana,2018,1,Medchal Malkajgiri,549429,Southern Region
telangana,2018,1,Sangareddy,142807,Southern Region
telangana,2018,1,Warangal Urban,133840,Southern Region
telangana,2018,1,Karimnagar,100028,Southern Region
telangana,2018,1,Khammam,84941,Southern Region
telangana,2018,1,Nalgonda,84459,Southern Region
telangana,2018,1,Nizamabad,77516,Southern Region
telangana,2018,1,Peddapalle,67418,Southern Region
telangana,2018,2,Hyderabad,842483,Southern Region
telangana,2018,2,Rangareddy,804959,Southern Region
telangana,2018,2,Medchal Malkajgiri,696211,Southern Region
telangana,2018,2,Sangareddy,182673,Southern Region
telangana,2018,2,Warangal Urban,171260,Southern Region
telangana,2018,2,Karimnagar,126122,Southern Region
telangana,2018,2,Khammam,111361,Southern Region
telangana,2018,2,Nalgonda,110668,Southern Region
telangana,2018,2,Nizamabad,100652,Southern Region
telangana,2018,2,Peddapalle,86033,Southern Region
telangana,2018,3,Hyderabad,1024241,Southern Region
telangana,2018,3,Rangareddy,963186,Southern Region
telangana,2018,3,Medchal Malkajgiri,828425,Southern Region
telangana,2018,3,Sangareddy,220802,Southern Region
telangana,2018,3,Warangal Urban,199919,Southern Region
telangana,2018,3,Karimnagar,148562,Southern Region
telangana,2018,3,Khammam,135353,Southern Region
telangana,2018,3,Nalgonda,134723,Southern Region
telangana,2018,3,Nizamabad,120650,Southern Region
telangana,2018,3,Peddapalle,102365,Southern Region
telangana,2018,4,Hyderabad,1336872,Southern Region
telangana,2018,4,Rangareddy,1217664,Southern Region
telangana,2018,4,Medchal Malkajgiri,1056739,Southern Region
telangana,2018,4,Sangareddy,281038,Southern Region
telangana,2018,4,Warangal Urban,249500,Southern Region
telangana,2018,4,Karimnagar,182600,Southern Region
telangana,2018,4,Nalgonda,171002,Southern Region
telangana,2018,4,Khammam,168485,Southern Region
telangana,2018,4,Nizamabad,150190,Southern Region
telangana,2018,4,Peddapalle,124191,Southern Region
manipur,2022,1,Imphal West,125131,North Central Region
manipur,2022,1,Imphal East,81134,North Central Region
manipur,2022,1,Thoubal,38088,North Central Region
manipur,2022,1,Bishnupur,36514,North Central Region
manipur,2022,1,Churachandpur,31533,North Central Region
manipur,2022,1,Kangpokpi,25589,North Central Region
manipur,2022,1,Kakching,17014,North Central Region
manipur,2022,1,Ukhrul,12728,North Central Region
